Institution;Project name;Application;Comment;Status;Method;Software;Description of the project
 Federal Statistical Office of Germany     ; Assignment of enterprises in the business register to the institutional sectors8 ;Classification;"assignment of enterprises to the institutional sectors; uses SVM"; Productive      ; SVM      ; R      ; Support vector machines are used for the assignment of enterprises to the institutional sectors according to the European System of National Accounts (ESA) 2010. In this way, official statistics in Germany are entering new territory and creating an opportunity to replace costly searches carried out by humans to classify many individual cases in the future through this method of machine learning.
 Federal Statistical Office of Germany            ; Recognition of irrelevant enterprises in the craft statistics9         ;Classification;"recognition of irrelevant enterprises in the craft statistics instead of manual classification; uses SVM, RF and dimension reduction"; Productive             ; SVM, Random Forest            ; R             ; The craft statistics are currently determined completely from administrative data. However, not all enterprises included in deliveries from chambers of crafts are relevant for craft statistics. Irrelevant enterprises have to be identified by the statistical offices of the Länder. Since the work on manual classification ties up personnel resources to a considerable extent, the question arose as to whether enterprises can be classified automatically with sufficient accuracy. Support Vector Machines in conjunction with Random Forests are currently used to classify enterprises as relevant or irrelevant with relatively little personnel effort. The training and test data originates from the statistical business register. After a few steps to reduce the dimensions, a Support Vector Machine is adapted to a data set of approximately 80,000 units with 30 characteristics.
 Federal Statistical Office of Germany               ; Estimation of the interruption of employment due to motherhood10           ;Classification;For a adjustment of the gender pay gap, the employment interruption due to birth should be taken into account. The microcensus provided train/test data to classify female employees as non-/mothers.; Research paper                ; SVM, Random Forest, logistic regression              ; R                ;"In order to approach the missing characteristic ""true work experience of a female employee"" for the estimation of the adjusted gender pay gap, the data of the Structure of Earnings Survey (SES) should be enriched by a woman-specific variable ""employment interruption due to the birth of a child (yes/no)"". This would enable the Federal Statistical Office to take this form of career interruption into account when estimating the adjusted gender pay gap. The 2012 microcensus contains the (albeit voluntary) characteristic ""Did you give birth to children?"", which was interpreted as an indication of the existence of a career interruption. The microcensus as external source therefore provided the training and test data to classify female employees as mothers and non-mothers. The experimental estimation of maternity among female employees included in the SES sample for 2014 yielded results that were included in the model for calculating the adjusted gender pay gap, but only reduced it in the range of the statistical uncertainty that existed anyway."
 Federal Statistical Office of Germany             ; Estimation of citizenship (German/forei gner) of employees in the Structure of Earnings Survey11       ;Classification; Binary classification              ; Experiment              ; SVM (among others)              ; R              ;" Another characteristic not currently covered by the Structure of Earnings Survey (SES) is the nationality of employees. Again, the microcensus as external source provided the training and test data to classify employees as Germans and foreigners. The following difficulty arose: The group of respondents in the microcensus with purely non-German citizenship is so small that each classification procedure ""sacrifices"" this group to achieve a low rate of misclassification; in other words, all foreigners are classified as Germans. Different approaches to dealing with so-called unbalanced data were therefore examined with limited access. However, the results were not convincing: Obviously, foreigners and Germans are too ""similar"" in the microcensus to be classified sufficiently well with the classical methods and machine-learning procedures used so far on the basis of the common characteristics of SES and microcensus. Studies based on other data sources have not yet been carried out."
Federal Statistical Office of Germany;"Transfer of the ""minimum wage"" property to the Integrated Employment Biographies (IEB) data12";Classification;"IEB (panel) is missing ""affectedness to min. wage"", which is includes in the SES. Idea is to train a RF w/ SES and apply the model to IEB.";Ongoing test;Random Forest;R;The cross sectional Structure of Earnings Survey (SES) has information on the hourly wages and therefore also on whether employees are affected by the German minimum wage. This data is missing in the Integrated Employment Biographies (IEB), a panel provided by the Federal Employment Agency (BA/IAB). The idea is to enrich the panel data with the information on the minimum wage affection by training a random forest with the SES data and then applying it to the panel data.
Federal Statistical Office of Germany;classification of online job advertisement s;Classification;Text classification;Test;kNN, Multinomial- Naive-Bayes;Python (NLTK, SKlearn), R;Scraped online job advertisements are usually available in unstructured full text. There is often a lack of separate information, such as the economic sector, the desired level of education or whether the advertisement was placed by a recruiter or not. An ML approach should automatically carry out such classifications.
Federal Statistical Office of Germany;Use of scanner data in consumer price statistics;Classification;For the use of scanner data,  via their product description articles are assigned  to their ECOICOP classification.;Test;SVM,Random Forest,Logistic Regression;The tool is programmed in Java and Ember.js as a web service.;Assignment of articles via their product descriptions to the ECOICOP classification. Eurostat has had a tool programmed which is to be adapted to the German situation.
Federal Statistical Office of Germany;Check the coding of part- time employment as part of the SV key of the BA (Federal Employment Agency) in the Structure of Earnings Survey (VSE).;Classification;Binary classification;Test;Random Forest;R (Ranger);The SV key of the BA, in which part-time employment is also coded, is also collected in the VSE. Erroneous information is corrected within the framework of plausibility checks on the basis of information on working time. Objective: With the corrected values, a model for predicting part-time work is learned and then applied to the erroneous BA data. The misclassifications then provide indications of cases in which part-time employment is incorrectly coded in the BA data.
RKI / ZBS 6;Identification, differentiation and classification of biological samples such as cells, tissues and microorganis ms based on spectroscopic and spectrometric data;Classification;Differentiation, identification, classification;Research projects;ANN SVM Strategies for Optimization;NeuroDeveloper Matlab Matlab NN Toolbox Biotools ga_orstooldiag SNNS;"The ZBS 6 department of the RKI has been using methods of machine learning and artificial intelligence (AI) for more than 20 years. Among other things, variants of artificial neural networks (ANNs) are used, which enable pattern recognition based on spectral data, e.g. from vibration spectroscopy or mass spectrometry. Spectroscopic and spectrometric data are recorded from complex biological samples such as cells, tissues, etc.; the aim of the application of ANNs is the fast, objective and cost-effective identification, differentiation and classification in cytology, histology and microbiology within the framework of research activities or for method development in diagnostics."
RKI / MF1;Bioinformatics / Analysis of molecular data14;Classification;" Binary classification  (binary and
multiclass
problems),
regression,
clustering";Research projects and productive operation;Random Forests, Deep Learning;R, Python;Various methods of machine learning are developed and used for the analysis of large data sets from omics experiments such as genome sequencing, automated assistance systems. These data sets are so large (sometimes up to one billion genome fragments from a single experiment) that manual analysis is not fully useful or possible, especially for time-critical processes. This can be used, for example, to characterise bacterial or viral pathogens or to search for pathogens. The assistance systems are used in particular to identify irrelevant measurements for the human decision-maker, e.g. genome fragments that were only measured with low quality, that have biologically low information content or contain contaminations from measurement, environment or a host organism. In addition, special hazard potentials of individual measurements (e.g. proximity to known pathogens or relevant potential phenotypes such as virulence or resistance) for the human decision-maker are highlighted.
